country,hdi_rank_2017,edu_index_2017,ratio_1990,ratio_1995,ratio_2000,ratio_2005,ratio_2010,ratio_2011,ratio_2012,ratio_2013,ratio_2014,ratio_2015,ratio_2016,ratio_2017,latest_ratio,latest_ratio_year,,
Uganda,162,0.525,29,35,59,52,49,48,49,46,,43,43,,43,2016,,
Ukraine,88,0.794,,,20,19,16,16,16,16,17,,13,,13,2016,,
United Arab Emirates,34,0.738,18,17,16,15,17,17,18,16,19,24,25,,25,2016,,
United Kingdom,14,0.914,20,,19,17,18,17,18,18,17,,,,17,2014,,
United States of America,13,0.903,,16,15,14,14,14,14,14,15,14,,,14,2015,,
Uruguay,55,0.733,22,20,21,20,14,,,12,11,12,,,12,2015,,
Uzbekistan,105,0.718,24,20,21,20,18,16,15,16,18,19,20,21,22,2017,,
Vanuatu,138,0.529,,,23,,22,,,23,,27,,,27,2015,,
Venezuela,78,,,,,,,,,,,,,,n.a,,,
Vietnam,116,0.626,34,35,30,22,20,20,19,19,19,19,20,,20,2016,,
Yemen,178,0.349,,,,,31,30,30,,,,27,,27,2016,,
Zambia,144,0.58,44,39,50,56,53,56,49,48,,,,,48,2013,,
Zimbabwe,,0.558,36,39,37,,,,36,36,,,,,36,2013,,
